OBX,Last,High,Low,Official turnover (NOK)
21.01.19,,,,"1,326.00"
18.01.19,793.40,793.44,778.55,"3,866,891,305.00"
17.01.19,779.78,781.64,776.60,"3,008,577,181.00"
16.01.19,779.98,785.29,776.05,"3,765,132,061.00"
15.01.19,778.83,785.18,774.41,"3,087,048,494.00"
14.01.19,775.90,779.18,770.35,"3,194,754,125.00"
11.01.19,778.87,786.76,777.38,"3,447,226,732.00"
10.01.19,779.69,783.11,772.12,"3,561,199,992.00"
09.01.19,781.46,782.90,773.29,"3,816,539,979.00"
08.01.19,773.42,776.16,766.61,"3,567,400,569.00"
07.01.19,768.71,779.54,766.16,"3,661,301,138.00"
04.01.19,769.48,769.48,750.14,"4,397,349,966.00"
03.01.19,748.82,754.87,738.19,"3,576,546,299.00"
02.01.19,742.03,742.97,726.16,"2,792,722,992.00"
28.12.18,739.42,743.84,726.41,"2,721,395,810.00"
27.12.18,726.33,751.28,726.29,"2,855,231,400.00"
21.12.18,745.93,746.55,735.85,"4,993,440,949.00"
20.12.18,746.55,764.49,743.58,"3,678,268,888.00"
19.12.18,765.55,766.02,750.58,"3,504,190,452.00"
18.12.18,756.32,759.62,743.94,"4,107,651,854.00"
17.12.18,759.10,770.99,759.10,"3,010,552,555.00"
14.12.18,768.56,775.03,766.05,"3,065,802,469.00"
13.12.18,775.52,781.29,770.32,"3,083,576,269.00"
12.12.18,781.48,782.19,772.93,"2,987,164,152.00"
11.12.18,773.27,776.43,761.66,"3,326,820,376.00"
10.12.18,763.22,781.29,761.54,"3,314,481,613.00"
07.12.18,782.03,786.70,764.56,"3,634,193,502.00"
06.12.18,764.60,792.42,764.60,"4,515,373,726.00"
05.12.18,792.64,803.85,790.34,"2,544,884,181.00"
04.12.18,803.93,810.26,802.59,"3,078,190,146.00"
03.12.18,806.99,812.78,791.80,"3,604,272,852.00"
30.11.18,790.91,794.52,786.18,"4,526,022,039.00"
29.11.18,792.52,794.59,782.79,"3,187,841,373.00"
28.11.18,786.87,793.22,782.34,"3,107,749,678.00"
27.11.18,789.36,792.74,783.09,"3,081,573,515.00"
26.11.18,787.10,787.75,772.65,"3,023,554,850.00"
23.11.18,772.42,784.37,768.74,"3,055,786,246.00"
22.11.18,784.38,792.38,784.35,"2,604,700,652.00"
21.11.18,791.23,791.40,777.62,"3,569,192,926.00"
20.11.18,777.36,798.06,775.11,"4,629,227,496.00"
19.11.18,797.40,810.47,797.14,"3,805,011,466.00"
16.11.18,804.77,811.47,798.86,"4,045,905,719.00"
15.11.18,798.75,808.04,797.73,"3,973,980,387.00"
14.11.18,804.39,810.64,799.27,"5,327,482,281.00"
13.11.18,810.65,823.00,810.64,"4,596,181,280.00"
12.11.18,822.43,827.28,819.67,"3,122,375,442.00"
09.11.18,819.23,824.41,817.16,"3,874,325,939.00"
08.11.18,824.60,832.27,823.99,"3,798,658,710.00"
07.11.18,827.05,834.39,823.04,"3,858,701,950.00"
06.11.18,823.83,828.61,820.75,"3,423,425,904.00"
05.11.18,826.97,830.98,819.03,"3,274,720,782.00"
02.11.18,822.26,829.88,819.92,"4,060,863,669.00"
01.11.18,819.73,825.55,816.45,"4,172,996,887.00"
31.10.18,825.60,827.23,806.99,"5,035,870,320.00"
30.10.18,806.74,816.76,802.25,"4,021,200,961.00"
29.10.18,814.04,819.47,802.42,"3,721,570,327.00"
26.10.18,802.39,812.71,796.08,"4,622,356,122.00"
25.10.18,811.04,813.14,790.50,"5,537,395,153.00"
24.10.18,807.56,816.84,804.14,"4,684,565,957.00"
23.10.18,804.07,820.96,804.02,"5,197,215,222.00"
22.10.18,820.95,844.44,820.95,"3,638,485,400.00"
19.10.18,837.71,839.64,824.06,"4,366,358,407.00"
18.10.18,825.69,840.20,825.31,"5,114,990,426.00"
17.10.18,839.99,849.03,839.29,"3,632,593,540.00"
16.10.18,840.29,840.29,830.04,"3,758,298,538.00"
15.10.18,831.42,838.22,827.02,"3,772,950,458.00"
12.10.18,830.31,833.50,823.71,"4,164,104,357.00"
11.10.18,827.83,848.88,818.46,"6,247,455,503.00"
10.10.18,849.44,861.83,847.99,"4,864,000,331.00"
09.10.18,857.29,861.07,851.76,"4,167,306,888.00"
08.10.18,853.45,860.97,849.65,"4,013,384,505.00"
05.10.18,859.42,867.85,858.59,"4,109,248,706.00"
04.10.18,861.84,873.18,861.78,"4,336,211,032.00"
03.10.18,870.72,881.06,869.78,"4,144,060,903.00"
02.10.18,877.17,879.41,874.13,"4,059,142,363.00"
01.10.18,875.15,878.18,871.28,"3,610,260,204.00"
28.09.18,871.27,875.12,866.32,"3,681,472,524.00"
27.09.18,874.46,877.25,871.24,"2,868,679,291.00"
26.09.18,874.96,882.06,873.78,"3,640,827,983.00"
25.09.18,881.01,881.08,865.40,"5,160,177,051.00"
24.09.18,865.37,865.50,855.17,"3,805,052,161.00"
21.09.18,855.42,857.22,850.26,"5,884,349,486.00"
20.09.18,850.32,853.21,845.28,"3,976,858,053.00"
19.09.18,845.18,849.48,843.73,"3,282,389,448.00"
18.09.18,847.41,848.54,840.35,"3,732,722,885.00"
17.09.18,843.59,844.43,838.04,"2,490,606,823.00"
14.09.18,840.66,843.47,839.00,"2,991,758,647.00"
13.09.18,838.96,842.29,838.60,"2,901,707,563.00"
12.09.18,839.58,842.72,834.67,"3,581,857,783.00"
11.09.18,834.57,835.91,830.58,"3,341,974,000.00"
10.09.18,832.63,835.35,828.19,"2,932,415,792.00"
07.09.18,828.41,837.18,822.68,"3,702,753,579.00"
06.09.18,834.12,839.16,832.42,"3,742,845,228.00"
05.09.18,832.65,838.89,831.94,"3,874,071,102.00"
04.09.18,839.79,843.11,837.29,"2,887,420,801.00"
03.09.18,842.87,845.05,839.28,"2,418,621,648.00"
31.08.18,840.23,845.94,840.23,"4,178,317,455.00"
30.08.18,845.60,849.87,842.58,"2,797,742,912.00"
29.08.18,849.18,850.11,844.98,"2,830,276,263.00"
28.08.18,848.07,850.14,845.37,"3,177,290,800.00"
27.08.18,845.92,846.56,839.86,"2,126,916,962.00"
24.08.18,840.00,841.31,834.84,"3,033,451,988.00"
